"","ds","y"
"0","2010-01-10","42219781.68"
"1","2010-02-04","50423831.26"
"2","2010-02-07","48917484.5"
"3","2010-03-09","47194257.61"
"4","2010-03-12","49909027.88"
"5","2010-04-06","50188543.12"
"6","2010-05-02","49750740.5"
"7","2010-05-03","46871470.3"
"8","2010-05-11","45781981.89"
"9","2010-06-08","48204999.12"
"10","2010-07-05","48503243.52"
"11","2010-08-10","45102974.23"
"12","2010-09-04","47365290.44"
"13","2010-09-07","47899529.37"
"14","2010-10-09","45634397.84"
"15","2010-10-12","55666770.39"
"16","2010-11-06","47826546.72"
"17","2010-12-02","48336677.63"
"18","2010-12-03","45925396.51"
"19","2010-12-11","46124800.83"
"20","2011-01-04","43458991.19"
"21","2011-01-07","47578519.5"
"22","2011-02-09","45376623.27"
"23","2011-02-12","49390556.49"
"24","2011-03-06","48771994.18"
"25","2011-04-02","46153111.12"
"26","2011-04-03","46980603.74"
"27","2011-04-11","48655544.3"
"28","2011-05-08","48015466.97"
"29","2011-06-05","46861958.29"
"30","2011-07-01","42775787.77"
"31","2011-07-10","47211688.36"
"32","2011-08-04","45887466.8"
"33","2011-08-07","47859263.78"
"34","2011-09-09","46763227.53"
"35","2011-09-12","55561147.7"
"36","2011-10-06","47669734.66"
"37","2011-11-02","47336192.79"
"38","2011-11-03","44627319.4"
"39","2011-11-11","48474224.75"
"40","2011-12-08","46249569.21"
"41","2012-01-06","48281649.72"
"42","2012-02-03","46861034.97"
"43","2012-03-02","46085608.09"
"44","2012-03-08","47485899.56"
"45","2012-04-05","47124197.93"
"46","2012-05-10","47566639.31"
"47","2012-06-01","44955421.95"
"48","2012-06-04","53502315.87"
"49","2012-06-07","51253021.88"
"50","2012-07-09","48330059.31"
"51","2012-08-06","49651171.78"
"52","2012-09-03","47480454.11"
"53","2012-10-02","50009407.92"
"54","2012-10-08","47403451.04"
"55","2012-11-05","46925878.99"
"56","2012-12-10","46128514.25"
"57","2012-01-13","42023078.48"
"58","2012-04-13","46629261.41"
"59","2011-05-13","45446144.82"
"60","2012-07-13","46099732.1"
"61","2010-08-13","46464418.41"
"62","2011-01-14","40673678.04"
"63","2010-05-14","45330080.2"
"64","2012-09-14","44226038.65"
"65","2011-10-14","44374820.3"
"66","2011-04-15","44973328.14"
"67","2012-06-15","48412110.7"
"68","2011-07-15","45515929.92"
"69","2010-10-15","43149473.45"
"70","2012-03-16","46901504.94"
"71","2010-04-16","45183667.08"
"72","2010-07-16","46243899.58"
"73","2011-09-16","43793960.08"
"74","2011-12-16","60085695.94"
"75","2012-02-17","50197056.96"
"76","2011-06-17","47447561.77"
"77","2012-08-17","47354452.05"
"78","2010-09-17","43080726.51"
"79","2010-12-17","61820799.85"
"80","2011-02-18","48716164.12"
"81","2011-03-18","44872325.97"
"82","2012-05-18","46823939.22"
"83","2010-06-18","47622046.23"
"84","2011-11-18","46438980.56"
"85","2010-02-19","48276993.78"
"86","2010-03-19","44988974.64"
"87","2011-08-19","46917347.62"
"88","2012-10-19","45122410.57"
"89","2010-11-19","45125584.18"
"90","2012-01-20","42080996.56"
"91","2012-04-20","45072529.78"
"92","2011-05-20","44046598.01"
"93","2012-07-20","46059543.45"
"94","2010-08-20","47060952.92"
"95","2011-01-21","40654648.03"
"96","2010-05-21","45120108.06"
"97","2012-09-21","44354547.11"
"98","2011-10-21","45818953.44"
"99","2011-04-22","48676692.06"
"100","2012-06-22","47668284.97"
"101","2011-07-22","45274411.39"
"102","2010-10-22","43066669.52"
"103","2012-03-23","44993794.45"
"104","2010-04-23","44734452.56"
"105","2010-07-23","44888849.11"
